Unnamed: 0,ligne,bol_type_code,ctn_reference,cnt_size,cnt_flag,index,filename
,,,BHCU3207910,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BSIU9605406,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,CAIU2550918,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU2531969,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU5414056,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,JXLU5106124,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGCU2082291,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TRIU8199503,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZMOU8866086,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU8136869,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU4254879,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8526666,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8739189,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZIMU2777344,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,CAIU9219780,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU7091646,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,DRYU4131423,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TRHU3304460,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZMOU8849601,,,,cnt_num_ZIM_12-28-2020_SYD.csv
